id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
2575267,Ryu-Ran SDP-003,YuGiOh Starter Deck: Pegasus,112,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
964109,Magnemite #SV27,Pokemon Hidden Fates,206,Ungraded,Normal wear,,,0,1,2025-04-16,,,,HOLO LOT
8560508,Anthony Davis #25,Basketball Cards 2024 Panini Prizm Dominance,117,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
2575275,Sonic Bird SDP-011,YuGiOh Starter Deck: Pegasus,25,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8871200,Hop's Corvisquire #134,Pokemon Journey Together,18,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
157610,Paper Mario Thousand Year Door Player's Guide,Strategy Guide,2922,Item only,Normal wear,,,0,1,2025-05-06,,,,
2575170,La Jinn the Mystical Genie of the Lamp SKE-009,YuGiOh Starter Deck: Kaiba Evolution,109,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8543293,Darius Garland [Green Wave] #146,Basketball Cards 2024 Panini Prizm,250,Ungraded,Normal wear,,,0,1,2025-04-16,,,,2025 PRIZMS
8557304,Ron Holland II [Red White Blue] #269,Basketball Cards 2024 Panini Prizm,150,Ungraded,Normal wear,,,0,1,2025-04-17,,,,2025 PRIZMS
8543978,Khris Middleton #153,Basketball Cards 2024 Panini Prizm,149,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
9090898,Andrew Nembhard #CM-NEM,Basketball Cards 2022 Panini Mosaic Collage Autographs,8499,PSA 10,Normal wear,,,9100,1,2025-04-18,2025-04-11,PSA,92757963,GRADED
1958438,Ancient Mew,Pokemon Promo,7791,Ungraded,Normal wear,,,0,1,2025-04-16,,,,PERSONAL COLLECTION
8871311,Volcanion ex #171,Pokemon Journey Together,200,Ungraded,Normal wear,,,0,1,2025-04-20,,,,CHECK CENTERING
2575559,Magic Jammer [1st Edition] SYE-043,YuGiOh Starter Deck: Yugi Evolution,130,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
4643452,Elite Trainer Box,Pokemon Crown Zenith,23485,Ungraded,Normal wear,,,14945,1,2025-04-18,2025-04-16,,,PERSONAL COLLECTION
1656625,Dragapult V #SWSH096,Pokemon Promo,250,Ungraded,Normal wear,,,0,1,2025-04-16,,,,
8846151,Saddiq Bey [Green] #44,Basketball Cards 2024 Panini Prizm,25,Ungraded,Normal wear,,,0,1,2025-04-17,,,,2025 PRIZMS
8548568,Kyshawn George #257,Basketball Cards 2024 Panini Prizm,149,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
8561384,Kyshawn George #19,Basketball Cards 2024 Panini Prizm Instant Impact,105,Ungraded,Normal wear,,,0,1,2025-04-18,,,,
8871061,N's Zoroark ex #98,Pokemon Journey Together,219,Ungraded,Normal wear,,,0,1,2025-04-20,,,,CHECK CENTERING
8551242,Julius Erving #292,Basketball Cards 2024 Panini Prizm,150,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
2574997,Dragon Treasure SDJ-038,YuGiOh Starter Deck: Joey,61,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
3375,Mario Kart Double Dash,Gamecube,6008,Item only,Normal wear,,,0,1,2025-05-06,,,,
3383,Mario Superstar Baseball,Gamecube,6525,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
4062,Kirby Squeak Squad,Nintendo DS,2618,Item only,Normal wear,,,0,1,2025-05-06,,,,
8546760,Dereck Lively II #214,Basketball Cards 2024 Panini Prizm,99,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
2545489,Pikeru's Second Sight TLM-EN050,YuGiOh The Lost Millennium,11,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8724634,Pascal Siakam [Burgundy] #53,Basketball Cards 2024 Panini Court Kings,99,Ungraded,Normal wear,,,0,1,2025-04-16,,,,CHECK CENTERING
2575199,Nobleman of Crossout SKE-038,YuGiOh Starter Deck: Kaiba Evolution,120,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8871318,Iono's Kilowattrel [Reverse Holo] #55,Pokemon Journey Together,50,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
4933964,Professor's Research: Professor Turo [Holo] #190,Pokemon Scarlet & Violet,8,Ungraded,Normal wear,,,0,1,2025-04-16,,,,HOLO LOT
1341671,Eternatus VMAX #SV122,Pokemon Shining Fates,537,Ungraded,Normal wear,,,0,1,2025-04-16,,,,NOT A 10
8554503,Kyle Filipowski #263,Basketball Cards 2024 Panini Prizm,149,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
2543572,Reflect Bounder DCR-012,YuGiOh Dark Crisis,625,Ungraded,Normal wear,,,0,1,2025-04-18,,,,CHECK CENTERING
8530547,Dejounte Murray #1,Basketball Cards 2024 Panini Prizm,115,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
